reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8957	C00005 + C00011 + C00877 = C00006 + C18026	5.0 millimolar / second	-39.850515858687686 kilojoule / mole	-37.59143478821477 kilojoule / mole	-20.476597253493736 kilojoule / mole	-20.737480917780182 kilojoule / mole	0.0
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	5.0 millimolar / second	-40.836293713944315 kilojoule / mole	-41.230258144283674 kilojoule / mole	-24.115420609562637 kilojoule / mole	-22.686035032977113 kilojoule / mole	0.0
RXN-12957	C00028 + C00527 = C00030 + C02411	5.0 millimolar / second	-4.271996296595717 kilojoule / mole	5.818354848268115 kilojoule / mole	5.818354848268115 kilojoule / mole	-3.2190948623934013 kilojoule / mole	0.125
RXN-9092	C00002 + C00010 + C00989 = C00013 + C00020 + C11062	5.0 millimolar / second	-26.43411614945444 kilojoule / mole	-26.157847981795115 kilojoule / mole	-26.157847981795115 kilojoule / mole	-30.790104698210868 kilojoule / mole	0.0
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	C00022 + C00030 = C00028 + C00256	5.0 millimolar / second	39.843267239049524 kilojoule / mole	19.678349357259748 kilojoule / mole	19.678349357259748 kilojoule / mole	-3.21909486239338 kilojoule / mole	0.125
LACCOA-RXN	C00100 + C00256 = C00163 + C00827	5.0 millimolar / second	-12.743669240302523 kilojoule / mole	-3.1816923736770004 kilojoule / mole	-3.1816923736770004 kilojoule / mole	-5.1892077376822705 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	5.0 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-3.219094895872469 kilojoule / mole	0.125
RXN-8965	C00001 + C18323 = C01011	5.0 millimolar / second	-0.3988046682220556 kilojoule / mole	-2.117368522992584 kilojoule / mole	-2.117368522992584 kilojoule / mole	-3.219094895845907 kilojoule / mole	0.125
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	C00004 + C00080 + C00232 = C00003 + C00989	5.0 millimolar / second	0.38238536041001225 kilojoule / mole	0.409790788916238 kilojoule / mole	0.409790788916238 kilojoule / mole	-7.790582811079503 kilojoule / mole	0.0
LACTOYL-COA-DEHYDRATASE-RXN	C00827 = C00001 + C00894	5.0 millimolar / second	2.0922651977497964 kilojoule / mole	3.744239271461777 kilojoule / mole	3.744239271461777 kilojoule / mole	-5.265580815052165 kilojoule / mole	0.0
GLUTARYL-COA-DEHYDROG-RXN	C02411 + ETF__45__Reduced = C00080 + C00527 + C04253	5.0 millimolar / second	4.271996296595717 kilojoule / mole	1.6487486812241148 kilojoule / mole	1.6487486812241148 kilojoule / mole	-3.2190948624775357 kilojoule / mole	0.125
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	5.0 millimolar / second	7.059838100394472 kilojoule / mole	7.965482078620906 kilojoule / mole	-9.149355456100126 kilojoule / mole	-3.3320938845943244 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353463319129656 kilojoule / mole	-8.353463319129656 kilojoule / mole	-9.993562255481732 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-3.219094895890236 kilojoule / mole	0.125
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-3.2190948958828467 kilojoule / mole	0.125
RXN-8890	C11062 = C00001 + C00877	5.0 millimolar / second	-10.853617107743773 kilojoule / mole	-12.153567752943383 kilojoule / mole	-12.153567752943383 kilojoule / mole	-15.842123472899056 kilojoule / mole	0.0
PROPANOATECOA-LIGASE-RXN	C00002 + C00010 + C00163 = C00008 + C00009 + C00100	5.0 millimolar / second	11.805902603180975 kilojoule / mole	11.891569201137175 kilojoule / mole	11.891569201137175 kilojoule / mole	-6.301513698551316 kilojoule / mole	0.0
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-5.141276648586755 kilojoule / mole	-5.141276648586755 kilojoule / mole	-3.2190948624770814 kilojoule / mole	0.125
RXN-8891	C00005 + C00080 + C00091 = C00006 + C00010 + C00232	5.0 millimolar / second	11.058348804426032 kilojoule / mole	12.576545858506655 kilojoule / mole	-4.538291676214377 kilojoule / mole	-8.055089234972755 kilojoule / mole	0.0
