reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	10.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.782145255446636 kilojoule / mole	-23.6673077207256 kilojoule / mole	-21.45978418210575 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.839083932931832 kilojoule / mole	19.839083932931832 kilojoule / mole	11.38050587257998 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	10.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.57303462150966 kilojoule / mole	3.57303462150966 kilojoule / mole	15.24565567315073 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-62.928728429575656 kilojoule / mole	-80.04356596429669 kilojoule / mole	-73.22969548594307 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.32614893702093 kilojoule / mole	-39.32624008990058 kilojoule / mole	-22.211402555179546 kilojoule / mole	19.126419866633903 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338458854 kilojoule / mole	-3.4576553223307362 kilojoule / mole	-3.4576553223307362 kilojoule / mole	-1.0188310617092964 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-22.52984461306915 kilojoule / mole	-22.52984461306915 kilojoule / mole	18.97021410537203 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	16.162232535132226 kilojoule / mole	-0.9526049995888081 kilojoule / mole	-1.3611088722507967 kilojoule / mole	0.0
RXN-14047	C00311 = C00158	5.0 millimolar / second	-6.843282680861449 kilojoule / mole	-6.838450147743314 kilojoule / mole	-6.838450147743314 kilojoule / mole	-5.27921745922699 kilojoule / mole	0.0
MALATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00036 + C00080 = C00006 + C00149	5.0 millimolar / second	-29.427656131423902 kilojoule / mole	-29.413909964471507 kilojoule / mole	-29.413909964471507 kilojoule / mole	-3.9336887446426956 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193966 kilojoule / mole	20.34505651573709 kilojoule / mole	3.2302189810160598 kilojoule / mole	20.36386096161551 kilojoule / mole	0.0
RXN-15977	C00007 + C00100 = C00027 + C00894	10.0 millimolar / second	-71.86862986103537 kilojoule / mole	-50.183478483251065 kilojoule / mole	-50.183478483251065 kilojoule / mole	-27.3870934139367 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	10.0 millimolar / second	131.89141496345414 kilojoule / mole	106.9962065246253 kilojoule / mole	106.9962065246253 kilojoule / mole	27.126964690344476 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.274280967960447 kilojoule / mole	22.274280967960447 kilojoule / mole	19.096745612639086 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.1831111312283156 kilojoule / mole	-2.022769167408497 kilojoule / mole	-2.022769167408497 kilojoule / mole	1.7414576997887208 kilojoule / mole	0.0
RXN-8964	C00091 + C00149 = C00042 + C04348	5.0 millimolar / second	-5.964746905090124 kilojoule / mole	-5.9389517736215165 kilojoule / mole	-5.9389517736215165 kilojoule / mole	-6.17809666603303 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353464728192442 kilojoule / mole	-8.353464728192442 kilojoule / mole	-6.599029741618783 kilojoule / mole	0.0
METHYLMALONYL-COA-EPIM-RXN	C01213 = C00683	5.0 millimolar / second	-0.15463308194898673 kilojoule / mole	-0.15463545640451637 kilojoule / mole	-0.15463545640451637 kilojoule / mole	1.871346684625204 kilojoule / mole	0.0
ISOCIT-CLEAV-RXN	C00042 + C00048 = C00311	5.0 millimolar / second	-9.51983219263957 kilojoule / mole	-9.5209758587769 kilojoule / mole	7.593861675944134 kilojoule / mole	8.926066053380016 kilojoule / mole	0.0
ATP-CITRATE-PRO-S--LYASE-RXN	C00002 + C00010 + C00158 = C00008 + C00009 + C00024 + C00036	5.0 millimolar / second	8.551954445346723 kilojoule / mole	8.558369927102927 kilojoule / mole	-8.556467607618107 kilojoule / mole	-10.863304541964261 kilojoule / mole	0.0
