Reaction ID	Fluxes	Equation(ID)
PYRUVATE-CARBOXYLASE-RXN	5.0	C00002 + C00288 + C00022 --> C00008 + C00036 + C00080 + C00009
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	5.0	C00011 + C00005 + C00091 --> C00010 + C00006 + C00026
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
FUMARATE-REDUCTASE-NADH-RXN	-5.0	C00003 + C00042 <=> C00122 + C00004 + C00080
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	-5.0	C00049 + C00006 + C00001 <=> C00014 + C00005 + C00036 + C00080
S-2-METHYLMALATE-DEHYDRATASE-RXN	-5.0	C00815 <=> C01732 + C00001
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	5.0	C00002 + C00010 + C00042 --> C00008 + C00009 + C00091
METHYLASPARTATE-MUTASE-RXN	-5.0	C03618 <=> C00025
METHYLASPARTATE-AMMONIA-LYASE-RXN	5.0	C03618 <=> C00014 + C01732
GLUTDEHYD-RXN	-5.0	C00025 + C00006 + C00001 <=> C00014 + C00005 + C00080 + C00026
ASPARTASE-RXN	5.0	C00049 --> C00014 + C00122
ACETATE--COA-LIGASE-ADP-FORMING-RXN	5.0	C00033 + C00002 + C00010 --> C00024 + C00008 + C00009
CITRAMALATE-LYASE-RXN	5.0	C00815 --> C00033 + C00022
