reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-9952	C00005 + C00011 + C00199 = C00006 + C00345	10.0 millimolar / second	-10.331992091051688 kilojoule / mole	-10.8843210806442 kilojoule / mole	6.230516454076833 kilojoule / mole	-14.565285880019276 kilojoule / mole	0.0
RXN0-313	C00118 + C00184 = C05345	3.33333 millimolar / second	-15.852890804659467 kilojoule / mole	-15.406948937005179 kilojoule / mole	1.7078885977158549 kilojoule / mole	-10.14822235658399 kilojoule / mole	0.0
PGLUCONDEHYDRAT-RXN	C00345 = C00001 + C04442	10.0 millimolar / second	-42.84480469840929 kilojoule / mole	-41.79146748288623 kilojoule / mole	-41.79146748288623 kilojoule / mole	-20.46567741879314 kilojoule / mole	0.0
2TRANSKETO-RXN	C00118 + C05345 = C00231 + C00279	3.33333 millimolar / second	5.843792698734944 kilojoule / mole	5.8445403831366765 kilojoule / mole	5.8445403831366765 kilojoule / mole	-10.141918813268509 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	10.0 millimolar / second	3.8108873820314386 kilojoule / mole	3.1044809837692524 kilojoule / mole	3.1044809837692524 kilojoule / mole	-10.107873151544194 kilojoule / mole	0.33333
SEDOBISALDOL-RXN	C00111 + C00279 = C00447	3.33333 millimolar / second	-20.836227629645975 kilojoule / mole	-20.570383298476834 kilojoule / mole	-3.455545763755799 kilojoule / mole	-10.142828161428545 kilojoule / mole	0.0
PHOSGLYPHOS-RXN	C00002 + C00197 = C00008 + C00236	6.66667 millimolar / second	19.315639861920175 kilojoule / mole	17.73647995233278 kilojoule / mole	17.73647995233278 kilojoule / mole	-10.107873151544249 kilojoule / mole	0.33333
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	C00001 + C00447 = C00009 + C05382	3.33333 millimolar / second	-13.452103100370273 kilojoule / mole	-13.337024804122066 kilojoule / mole	-30.4518623388431 kilojoule / mole	-24.844687842319598 kilojoule / mole	0.0
KDPGALDOL-RXN	C04442 = C00022 + C00118	10.0 millimolar / second	16.240189192196922 kilojoule / mole	16.240146810122106 kilojoule / mole	-0.8746907245989293 kilojoule / mole	-10.134885520871334 kilojoule / mole	0.0
1.2.1.13-RXN	C00005 + C00080 + C00236 = C00006 + C00009 + C00118	6.66667 millimolar / second	-4.472156458657118 kilojoule / mole	-3.427982976665424 kilojoule / mole	-20.54282051138646 kilojoule / mole	-10.131637114601952 kilojoule / mole	0.0
RXN-15513	C00631 = C00197	10.0 millimolar / second	-4.52040798250934 kilojoule / mole	-5.5250136335518025 kilojoule / mole	-5.5250136335518025 kilojoule / mole	-10.107873151544187 kilojoule / mole	0.33333
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-16551/XYLULOSE-5-PHOSPHATE.56.	C00118 + C05382 = C00231 + CPD__45__16551	3.33333 millimolar / second	1238.5511229463555 kilojoule / mole	20.369139080513378 kilojoule / mole	20.369139080513378 kilojoule / mole	-10.165794507521014 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	10.0 millimolar / second	27.5833233583064 kilojoule / mole	27.814890267663237 kilojoule / mole	27.814890267663237 kilojoule / mole	-10.132712985801733 kilojoule / mole	0.0
TRIOSEPISOMERIZATION-RXN	C00118 = C00111	6.66667 millimolar / second	-5.575349871345168 kilojoule / mole	-5.3133347327345355 kilojoule / mole	-5.3133347327345355 kilojoule / mole	-10.144768125350085 kilojoule / mole	0.0
RIBULP3EPIM-RXN	C00231 = C00199	6.66667 millimolar / second	3.388013622025369 kilojoule / mole	3.445541261224223 kilojoule / mole	3.445541261224223 kilojoule / mole	-10.141062610443297 kilojoule / mole	0.0
RXN0-7249	C00001 + C00111 = C00009 + C00184	3.33333 millimolar / second	-14.958153538137033 kilojoule / mole	-14.987968924661885 kilojoule / mole	-32.10280645938292 kilojoule / mole	-43.07595137239404 kilojoule / mole	0.0
RIB5PISOM-RXN-CPD-16551//RIBULOSE-5P.23.	CPD__45__16551 = C00199	3.33333 millimolar / second	-1232.592556027651 kilojoule / mole	-14.325968422310325 kilojoule / mole	-14.325968422310325 kilojoule / mole	-14.362464400937142 kilojoule / mole	0.0
