Reaction ID	Fluxes	Equation(ID)
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	10.0	C00011 + C01182 + C00001 --> 2.0 C00197 + 2.0 C00080
RXN0-313	-3.33333	C05345 <=> C00184 + C00118
2TRANSKETO-RXN	-3.33333	C00279 + C00231 <=> C05345 + C00118
SEDOBISALDOL-RXN	3.33333	C00111 + C00279 <=> C00447
PHOSGLYPHOS-RXN	16.66667	C00002 + C00197 <=> C00008 + C00236
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	3.33333	C00447 + C00001 --> C05382 + C00009
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15318/XYLULOSE-5-PHOSPHATE.56.	3.33333	C05382 + C00118 <=> C03736 + C00231
GAPOXNPHOSPHN-RXN	-16.66667	C00118 + C00003 + C00009 <=> C00236 + C00004 + C00080
TRIOSEPISOMERIZATION-RXN	6.66667	C00118 <=> C00111
PHOSPHORIBULOKINASE-RXN	10.0	C00002 + C00199 --> C00008 + C01182 + C00080
RIBULP3EPIM-RXN	-6.66667	C00199 <=> C00231
RXN0-7249	3.33333	C00111 + C00001 --> C00184 + C00009
RIB5PISOM-RXN-CPD-15318//RIBULOSE-5P.23.	3.33333	C03736 <=> C00199
