reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	3.33333 millimolar / second	-32.510934857724 kilojoule / mole	-32.58927744150719 kilojoule / mole	-32.58927744150719 kilojoule / mole	-24.914680482948327 kilojoule / mole	0.0
PYRUVATE-CARBOXYLASE-RXN	C00002 + C00022 + C00288 = C00008 + C00009 + C00036 + C00080	3.33333 millimolar / second	-4.927611499417594 kilojoule / mole	-4.980784156673318 kilojoule / mole	-4.980784156673318 kilojoule / mole	-29.100720122455257 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-22.09143445066798 kilojoule / mole	-4.976596915946946 kilojoule / mole	9.004220187578543 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/CPD-12994//CPD-12998/WATER.40.	C00067 + CPD__45__12994 = C00001 + CPD__45__12998	3.33333 millimolar / second	-114.39787252853021 kilojoule / mole	-67.76321826242534 kilojoule / mole	-50.64838072770431 kilojoule / mole	-36.53578620411247 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	3.33333 millimolar / second	-25.355278707548877 kilojoule / mole	-25.341381449516362 kilojoule / mole	-8.226543914795329 kilojoule / mole	-0.7049995137433946 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	6.66667 millimolar / second	-5.187235000808812 kilojoule / mole	-5.111806042689251 kilojoule / mole	-5.111806042689251 kilojoule / mole	-39.05049969594476 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	6.66667 millimolar / second	0.5321601063815251 kilojoule / mole	3.573050142394072 kilojoule / mole	3.573050142394072 kilojoule / mole	16.52547824383386 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	6.66667 millimolar / second	34.57151619476036 kilojoule / mole	34.13382670697611 kilojoule / mole	34.13382670697611 kilojoule / mole	15.830773109065927 kilojoule / mole	0.0
2.6.1.35-RXN	C00036 + C00037 = C00048 + C00049	3.33333 millimolar / second	5.6888721975165595 kilojoule / mole	5.631072744484701 kilojoule / mole	5.631072744484701 kilojoule / mole	-3.1450638751539035 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	6.66667 millimolar / second	-63.20180363413033 kilojoule / mole	-62.92871153898697 kilojoule / mole	-80.043549073708 kilojoule / mole	-75.36479327112181 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	3.33333 millimolar / second	-39.32614893702112 kilojoule / mole	-39.3262397258283 kilojoule / mole	-22.21140219110727 kilojoule / mole	19.115215478190834 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	6.66667 millimolar / second	-22.390116860941134 kilojoule / mole	-22.385532837584602 kilojoule / mole	-22.385532837584602 kilojoule / mole	6.6745931167309545 kilojoule / mole	0.0
GLYOHMETRANS-RXN-SER/CPD-12994//GLY/CPD-12998/WATER.35.	C00001 + C00037 + CPD__45__12998 = C00065 + CPD__45__12994	3.33333 millimolar / second	95.8020902952324 kilojoule / mole	49.20513117883605 kilojoule / mole	49.20513117883605 kilojoule / mole	26.975819338069563 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	6.66667 millimolar / second	-68.9962422617597 kilojoule / mole	-46.793338721364066 kilojoule / mole	-63.9081762560851 kilojoule / mole	-35.237847247223925 kilojoule / mole	0.0
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	C00048 + C00065 = C00037 + C00168	3.33333 millimolar / second	-4.27561409044354 kilojoule / mole	-4.208491257582424 kilojoule / mole	-4.208491257582424 kilojoule / mole	8.245680221203967 kilojoule / mole	0.0
