reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8957	C00005 + C00011 + C00877 = C00006 + C18026	5.0 millimolar / second	-39.850515858687686 kilojoule / mole	-37.57662190714704 kilojoule / mole	-20.461784372426006 kilojoule / mole	-23.631901084193565 kilojoule / mole	0.0
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	5.0 millimolar / second	-32.510934857724 kilojoule / mole	-32.40031680548965 kilojoule / mole	-32.40031680548965 kilojoule / mole	-18.70037649488331 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.286896951369457 kilojoule / mole	-5.286896951369457 kilojoule / mole	-24.22610740679845 kilojoule / mole	0.0
RXN-12957	C00028 + C00527 = C00030 + C02411	5.0 millimolar / second	-4.271996296595717 kilojoule / mole	-55.467822817486 kilojoule / mole	-55.467822817486 kilojoule / mole	-33.818295198139566 kilojoule / mole	0.0
RXN-9092	C00002 + C00010 + C00989 = C00013 + C00020 + C11062	5.0 millimolar / second	-26.43411614945444 kilojoule / mole	-25.47908856232332 kilojoule / mole	-25.47908856232332 kilojoule / mole	-20.733590488917745 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	5.0 millimolar / second	27.583323358306416 kilojoule / mole	27.550495185567648 kilojoule / mole	27.550495185567648 kilojoule / mole	-11.544449707595431 kilojoule / mole	0.0
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	C00004 + C00080 + C00232 = C00003 + C00989	5.0 millimolar / second	0.38238536041001225 kilojoule / mole	0.3893397604235122 kilojoule / mole	0.3893397604235122 kilojoule / mole	-12.219637506207834 kilojoule / mole	0.0
2.1.3.1-RXN	C00036 + C00100 = C00022 + C00683	5.0 millimolar / second	2.1831111312283156 kilojoule / mole	-0.018892702571847497 kilojoule / mole	-0.018892702571847497 kilojoule / mole	-11.196548642103103 kilojoule / mole	0.0
GLUTARYL-COA-DEHYDROG-RXN	C02411 + ETF__45__Reduced = C00080 + C00527 + C04253	5.0 millimolar / second	4.271996296595717 kilojoule / mole	29.519556945394655 kilojoule / mole	29.519556945394655 kilojoule / mole	-10.572417012664289 kilojoule / mole	0.2
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353466994614704 kilojoule / mole	-8.353466994614704 kilojoule / mole	-11.248758689693771 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-10.572417218589653 kilojoule / mole	0.2
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-10.572417218589894 kilojoule / mole	0.2
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	5.0 millimolar / second	0.15463308194898673 kilojoule / mole	0.1546323711186376 kilojoule / mole	0.1546323711186376 kilojoule / mole	-11.163646357557155 kilojoule / mole	0.0
RXN-8960	C00001 + C06028 = C06027	5.0 millimolar / second	3.686969438274673 kilojoule / mole	-3.2043591985131883 kilojoule / mole	-3.2043591985131883 kilojoule / mole	-10.572417218842096 kilojoule / mole	0.2
RXN-8890	C11062 = C00001 + C00877	5.0 millimolar / second	-10.85361710774373 kilojoule / mole	-10.716340516436885 kilojoule / mole	-10.716340516436885 kilojoule / mole	-17.31754247358424 kilojoule / mole	0.0
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-33.5377167028675 kilojoule / mole	-33.5377167028675 kilojoule / mole	-10.572417012664303 kilojoule / mole	0.2
RXN-8961	C06027 = C00048 + C00100	5.0 millimolar / second	15.049597135860907 kilojoule / mole	16.63197542638568 kilojoule / mole	-0.4828621083353539 kilojoule / mole	-11.153026199978576 kilojoule / mole	0.0
RXN-8891	C00005 + C00080 + C00091 = C00006 + C00010 + C00232	5.0 millimolar / second	11.058348804426032 kilojoule / mole	10.505823484266704 kilojoule / mole	-6.609014050454329 kilojoule / mole	-12.285138759029303 kilojoule / mole	0.0
