Reaction ID	Fluxes	Equation(ID)
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	10.0	C00014 + C00011 + C00143 + C00004 --> C00037 + C00003 + C00101
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	5.0	C00067 + C00101 --> C00143 + C00001
RXN-16767	-5.0	C00004 <=> C21424
2PGADEHYDRAT-RXN	-5.0	C00631 <=> C00074 + C00001
PHOSACETYLTRANS-RXN	-5.0	C00024 + C00009 <=> C00227 + C00010
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	5.0	C00041 + C00109 <=> C02721 + C00022
THREONINE-RACEMASE-RXN	-5.0	C00188 <=> C00820
RXN0-6562	5.0	C00001 + C03232 --> C00168 + C00009
RXN-7566	5.0	C00037 + C00080 + C00009 + C00342 --> C00227 + C00014 + C00343 + C00001
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.	5.0	C00065 + C00101 <=> C00037 + C00143 + C00001
RXN-15513	5.0	C00631 <=> C00197
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	5.0	C02721 + C00007 + C00001 --> C00067 + C00027 + C00041
THREDEHYD-RXN	5.0	C00188 --> C00014 + C00109
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	-5.0	C00048 + C00065 <=> C00037 + C00168
PEPDEPHOS-RXN	5.0	C00002 + C00022 --> C00008 + C00074 + C00080
RXN-16774	-5.0	C21424 + C00007 + C00080 <=> C00027 + C00003
4.1.2.42-RXN	-5.0	C00820 <=> C00084 + C00037
PGLYCDEHYDROG-RXN	5.0	C00197 + C00003 <=> C00004 + C00080 + C03232
ACETALD-DEHYDROG-RXN	-5.0	C00084 + C00010 + C00003 <=> C00024 + C00004 + C00080
