reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	10.0 millimolar / second	-32.510934857724 kilojoule / mole	-32.6956495192225 kilojoule / mole	-32.6956495192225 kilojoule / mole	-22.933897577188464 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.044153806794302 kilojoule / mole	19.044153806794302 kilojoule / mole	-6.104416173623754 kilojoule / mole	0.05491
RXN0-5224	C00001 + C00011 = C00080 + C00288	10.0 millimolar / second	-5.187235000808812 kilojoule / mole	-4.6588347168420245 kilojoule / mole	-4.6588347168420245 kilojoule / mole	-21.916556054585854 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	5.0 millimolar / second	61.21694462493679 kilojoule / mole	53.78158958553265 kilojoule / mole	53.78158958553265 kilojoule / mole	-6.104416173003836 kilojoule / mole	0.17737
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	5.0 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.4350186752254026 kilojoule / mole	-3.4350186752254026 kilojoule / mole	-6.104416173026324 kilojoule / mole	0.17737
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-42.33352474127596 kilojoule / mole	-59.44836227599699 kilojoule / mole	-30.923633053422257 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.326148937021344 kilojoule / mole	-39.49544288253691 kilojoule / mole	-22.380605347815877 kilojoule / mole	-6.1044161735302715 kilojoule / mole	0.05912
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338458854 kilojoule / mole	-11.129034375852328 kilojoule / mole	-11.129034375852328 kilojoule / mole	-6.10441617358378 kilojoule / mole	0.05491
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-24.51523116971775 kilojoule / mole	-24.51523116971775 kilojoule / mole	-6.104416173531462 kilojoule / mole	0.05912
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	17.00044781612958 kilojoule / mole	-0.11438971859145575 kilojoule / mole	-6.104416173629177 kilojoule / mole	0.05491
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	10.0 millimolar / second	27.583323358306416 kilojoule / mole	27.74095654832112 kilojoule / mole	27.74095654832112 kilojoule / mole	-9.016807124236276 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193961 kilojoule / mole	18.311486601944754 kilojoule / mole	1.196649067223722 kilojoule / mole	-6.104416173527612 kilojoule / mole	0.05912
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339645 kilojoule / mole	16.17358001682525 kilojoule / mole	16.17358001682525 kilojoule / mole	-6.1044161735294304 kilojoule / mole	0.05912
2.1.3.1-RXN	C00036 + C00100 = C00022 + C00683	5.0 millimolar / second	2.1831111312283156 kilojoule / mole	7.716226514718534 kilojoule / mole	7.716226514718534 kilojoule / mole	-6.104416173562945 kilojoule / mole	0.05491
RXN-8964	C00091 + C00149 = C00042 + C04348	5.0 millimolar / second	-5.964746905089896 kilojoule / mole	-8.857168315470037 kilojoule / mole	-8.857168315470037 kilojoule / mole	-6.104416173455972 kilojoule / mole	0.06304
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.772544725789869 kilojoule / mole	-8.772544725789869 kilojoule / mole	-6.104416173488969 kilojoule / mole	0.06304
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	5.0 millimolar / second	0.15463308194898673 kilojoule / mole	-0.6835354880309081 kilojoule / mole	-0.6835354880309081 kilojoule / mole	-6.104416173489393 kilojoule / mole	0.06304
