Reaction ID	Fluxes	Equation(ID)
RXN-8957	5.0	C00011 + C00877 + C00005 --> C18026 + C00006
ISOCITDEH-RXN	5.0	C00011 + C00005 + C00026 --> C00006 + C00311
RXN-12957	5.0	C00028 + C00527 <=> C00030 + C02411
S-2-METHYLMALATE-DEHYDRATASE-RXN	5.0	C00815 <=> C01732 + C00001
OXALOACETASE-RXN	5.0	C00036 + C00001 --> C00033 + C00209 + C00080
RXN-11667	5.0	C01144 <=> C00877 + C00001
RXN-14047	-5.0	C00158 <=> C00311
METHYLASPARTATE-MUTASE-RXN	5.0	C03618 <=> C00025
RXN-11662	-5.0	C00003 + C01144 <=> C00332 + C00004 + C00080
RXN-13230	5.0	C06028 <=> C18323
RXN-8965	5.0	C18323 + C00001 --> C01011
METHYLASPARTATE-AMMONIA-LYASE-RXN	-5.0	C03618 <=> C00014 + C01732
GLUTARYL-COA-DEHYDROG-RXN	-5.0	C04253 + C00527 + C00080 <=> ETF__45__Reduced_c + C02411
GLUTDEHYD-RXN	5.0	C00025 + C00006 + C00001 <=> C00014 + C00005 + C00080 + C00026
ACETYL-COA-ACETYLTRANSFER-RXN	5.0	2.0 C00024 <=> C00332 + C00010
RXN-16391	5.0	C18026 --> C20238
RXN-8958	5.0	C20238 --> C18324
CITRAMALATE-COA-TRANSFERASE-RXN	-5.0	C00024 + C00815 <=> C00033 + C01011
RXN-8959	5.0	C18324 + C04253 + C00080 --> C06028 + ETF__45__Reduced_c
ATP-CITRATE-PRO-S--LYASE-RXN	5.0	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
