reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8957	C00005 + C00011 + C00877 = C00006 + C18026	5.0 millimolar / second	-39.850515858687686 kilojoule / mole	-36.85488345711037 kilojoule / mole	-19.74004592238934 kilojoule / mole	-10.355243874903564 kilojoule / mole	0.0
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-4.207780963431751 kilojoule / mole	-4.207780963431751 kilojoule / mole	-24.709308929518983 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.304729451091607 kilojoule / mole	-5.304729451091607 kilojoule / mole	-19.99083646333856 kilojoule / mole	0.0
OXALOACETASE-RXN	C00001 + C00036 = C00033 + C00080 + C00209	5.0 millimolar / second	-52.54732631872473 kilojoule / mole	-53.5678002321042 kilojoule / mole	-70.68263776682522 kilojoule / mole	-68.00098265663745 kilojoule / mole	0.0
RXN-11667	C01144 = C00001 + C00877	5.0 millimolar / second	3.27591793251122 kilojoule / mole	3.2759134470855105 kilojoule / mole	3.2759134470855105 kilojoule / mole	-7.50969333495541 kilojoule / mole	0.0
RXN-11662	C00004 + C00080 + C00332 = C00003 + C01144	5.0 millimolar / second	-16.889474845328778 kilojoule / mole	-16.889474662977584 kilojoule / mole	-16.889474662977584 kilojoule / mole	-8.044123263176944 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	5.0 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-4.905410048317543 kilojoule / mole	0.2
RXN-8965	C00001 + C18323 = C01011	5.0 millimolar / second	-0.3988046682220556 kilojoule / mole	-4.350931977097442 kilojoule / mole	-4.350931977097442 kilojoule / mole	-4.905410048318738 kilojoule / mole	0.2
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.183111131228074 kilojoule / mole	-0.628120757943011 kilojoule / mole	-0.628120757943011 kilojoule / mole	-10.422871415964648 kilojoule / mole	0.0
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	5.0 millimolar / second	7.059838100394472 kilojoule / mole	8.429012903833002 kilojoule / mole	-8.685824630888032 kilojoule / mole	-6.087737129978714 kilojoule / mole	0.0
ACETYL-COA-ACETYLTRANSFER-RXN	2 C00024 = C00010 + C00332	5.0 millimolar / second	24.96121615861489 kilojoule / mole	24.98615242701256 kilojoule / mole	24.98615242701256 kilojoule / mole	-6.436923364630496 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-4.905410048317742 kilojoule / mole	0.2
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-4.905410048317404 kilojoule / mole	0.2
ACETATE--COA-LIGASE-ADP-FORMING-RXN	C00002 + C00010 + C00033 = C00008 + C00009 + C00024	5.0 millimolar / second	4.750656085799392 kilojoule / mole	4.802465781957454 kilojoule / mole	4.802465781957454 kilojoule / mole	-8.296711390999715 kilojoule / mole	0.0
RXN-8959	C00080 + C18324 = C06028	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-8.766226575510553 kilojoule / mole	-8.766226575510553 kilojoule / mole	-4.905410048317336 kilojoule / mole	0.2
