reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PYRUVATE-CARBOXYLASE-RXN	C00002 + C00022 + C00288 = C00008 + C00009 + C00036 + C00080	10.0 millimolar / second	-4.927611499417402 kilojoule / mole	-4.994625997632996 kilojoule / mole	-4.994625997632996 kilojoule / mole	-33.76649728108786 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.810021191652595 kilojoule / mole	16.954643395926336 kilojoule / mole	16.954643395926336 kilojoule / mole	-12.05367865232311 kilojoule / mole	0.16872
RXN0-5224	C00001 + C00011 = C00080 + C00288	10.0 millimolar / second	-5.187235000808812 kilojoule / mole	-4.533674934852095 kilojoule / mole	-4.533674934852095 kilojoule / mole	-23.089804686883898 kilojoule / mole	0.0
RXN-15632-L-LACTATE/NADP//PYRUVATE/NADPH/PROTON.38.	C00006 + C00186 = C00005 + C00022 + C00080	5.0 millimolar / second	26.628100292194404 kilojoule / mole	26.515462781517744 kilojoule / mole	26.515462781517744 kilojoule / mole	-12.053678652327134 kilojoule / mole	0.16872
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-45.67789696431298 kilojoule / mole	-62.79273449903401 kilojoule / mole	-38.611260505569504 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.326148937021344 kilojoule / mole	-39.32302490098206 kilojoule / mole	-22.20818736626103 kilojoule / mole	-16.264831355257524 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338458854 kilojoule / mole	-12.053678655829628 kilojoule / mole	-12.053678655829628 kilojoule / mole	-12.053678654188387 kilojoule / mole	0.07204
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	5.0 millimolar / second	-22.39011686094136 kilojoule / mole	-24.1869604872226 kilojoule / mole	-24.1869604872226 kilojoule / mole	-12.053678653809303 kilojoule / mole	0.08436
OXALOACETASE-RXN	C00001 + C00036 = C00033 + C00080 + C00209	5.0 millimolar / second	-52.54732631872473 kilojoule / mole	-51.12891099766114 kilojoule / mole	-68.24374853238217 kilojoule / mole	-78.47572563886665 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.345053421939838 kilojoule / mole	18.52074303674919 kilojoule / mole	1.4059055020281588 kilojoule / mole	-12.053678653803477 kilojoule / mole	0.08436
RXN-781	C00001 + C00894 = C00827	5.0 millimolar / second	-2.092265197749839 kilojoule / mole	-6.648740756064729 kilojoule / mole	-6.648740756064729 kilojoule / mole	-12.05367865232505 kilojoule / mole	0.16872
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	16.801345663695532 kilojoule / mole	16.801345663695532 kilojoule / mole	-12.053678653802109 kilojoule / mole	0.08436
RXN-15724	C00033 + C00827 = C00024 + C00186	5.0 millimolar / second	2.6100752276759067 kilojoule / mole	-0.29019107801061583 kilojoule / mole	-0.29019107801061583 kilojoule / mole	-12.053678652323793 kilojoule / mole	0.16872
PROPCOASYN-RXN	C00080 + C00100 + C04253 = C00894 + ETF__45__Reduced	5.0 millimolar / second	-2.968629861199588 kilojoule / mole	-47.92458627736024 kilojoule / mole	-47.92458627736024 kilojoule / mole	-12.476775804551096 kilojoule / mole	0.0
