Reaction ID	Fluxes	Equation(ID)
PYRUVATE-CARBOXYLASE-RXN	10.0	C00002 + C00288 + C00022 --> C00008 + C00036 + C00080 + C00009
PYRUVFORMLY-RXN	5.0	C00024 + C00058 --> C00010 + C00022
RXN0-5224	-10.0	C00288 + C00080 <=> C00011 + C00001
RXN-15632-L-LACTATE/NADP//PYRUVATE/NADPH/PROTON.38.	5.0	C00186 + C00006 <=> C00005 + C00080 + C00022
HOMOSERDEAM-RXN	5.0	C00263 --> C00014 + C00109
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	-5.0	C00049 + C00003 + C00001 <=> C00014 + C00004 + C00036 + C00080
KETOBUTFORMLY-RXN	5.0	C00010 + C00109 --> C00058 + C00100
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	5.0	C00441 + C00005 + C00080 --> C00263 + C00006
OXALOACETASE-RXN	5.0	C00036 + C00001 --> C00033 + C00209 + C00080
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-5.0	C00441 + C00006 + C00009 <=> C03082 + C00005 + C00080
RXN-781	-5.0	C00827 <=> C00894 + C00001
ASPARTATEKIN-RXN	5.0	C00002 + C00049 <=> C00008 + C03082
RXN-15724	-5.0	C00024 + C00186 <=> C00033 + C00827
PROPCOASYN-RXN	5.0	C04253 + C00100 + C00080 --> C00894 + ETF__45__Reduced_c
