reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
ACETYL-COA-CARBOXYLTRANSFER-RXN	C00002 + C00024 + C00288 = C00008 + C00009 + C00080 + C00083	3.33333 millimolar / second	-6.819476712687852 kilojoule / mole	-6.679961592546422 kilojoule / mole	-6.679961592546422 kilojoule / mole	-35.5635065068844 kilojoule / mole	0.0
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	3.33333 millimolar / second	-2.744500368189165 kilojoule / mole	-2.970426394212366 kilojoule / mole	-2.970426394212366 kilojoule / mole	-35.888604871351674 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-22.08590406432023 kilojoule / mole	-4.971066529599194 kilojoule / mole	10.049317245658994 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	3.33333 millimolar / second	-25.355278707548877 kilojoule / mole	-25.340572804087227 kilojoule / mole	-8.225735269366192 kilojoule / mole	1.6349860845255557 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	6.66667 millimolar / second	-5.187235000808812 kilojoule / mole	-5.107417493291053 kilojoule / mole	-5.107417493291053 kilojoule / mole	-39.859236215252274 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	3.33333 millimolar / second	0.5321601063815251 kilojoule / mole	3.750005211558797 kilojoule / mole	3.750005211558797 kilojoule / mole	9.270694392712414 kilojoule / mole	0.0
RXN-8974	C00005 + C00080 + C00222 = C00006 + C01013	3.33333 millimolar / second	-23.328358352916467 kilojoule / mole	-23.3138083035393 kilojoule / mole	-23.3138083035393 kilojoule / mole	3.237891461382369 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	3.33333 millimolar / second	34.571516194760434 kilojoule / mole	34.108382275034586 kilojoule / mole	34.108382275034586 kilojoule / mole	16.14847360068936 kilojoule / mole	0.0
2.6.1.35-RXN	C00036 + C00037 = C00048 + C00049	3.33333 millimolar / second	5.6888721975165595 kilojoule / mole	5.6277100041248245 kilojoule / mole	5.6277100041248245 kilojoule / mole	8.228444318538713 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	3.33333 millimolar / second	-63.20180363413033 kilojoule / mole	-62.91285009547068 kilojoule / mole	-80.02768763019172 kilojoule / mole	-75.06723266870344 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	3.33333 millimolar / second	-22.39011686094136 kilojoule / mole	-22.385264786783246 kilojoule / mole	-22.385264786783246 kilojoule / mole	6.552927329523348 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	3.33333 millimolar / second	-68.9962422617597 kilojoule / mole	-45.50132533113012 kilojoule / mole	-62.61616286585115 kilojoule / mole	-36.18511277863584 kilojoule / mole	0.0
RXN-14047	C00311 = C00158	3.33333 millimolar / second	-6.843282680861449 kilojoule / mole	-6.83816893477329 kilojoule / mole	-6.83816893477329 kilojoule / mole	-5.006855566770985 kilojoule / mole	0.0
RXN-8968	C00002 + C00005 + C00010 + C00080 + C01013 = C00001 + C00006 + C00013 + C00020 + C00100	3.33333 millimolar / second	-60.75613024174474 kilojoule / mole	-60.57751589990892 kilojoule / mole	-60.57751589990892 kilojoule / mole	-26.890510768524724 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	3.33333 millimolar / second	20.34505342193961 kilojoule / mole	20.34505740701904 kilojoule / mole	3.2302198722980062 kilojoule / mole	18.715930802600603 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	3.33333 millimolar / second	131.89141496345414 kilojoule / mole	105.54750772636487 kilojoule / mole	105.54750772636487 kilojoule / mole	25.67826589639065 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	3.33333 millimolar / second	22.274273316339418 kilojoule / mole	22.274286191283345 kilojoule / mole	22.274286191283345 kilojoule / mole	18.457732476397403 kilojoule / mole	0.0
RXN-8963	C00005 + C00080 + C00083 = C00006 + C00010 + C00222	3.33333 millimolar / second	9.907933190874928 kilojoule / mole	9.94626965087981 kilojoule / mole	-7.168567883841224 kilojoule / mole	7.698104422683409 kilojoule / mole	0.0
SUCCINYL-COA-HYDROLASE-RXN	C00001 + C00091 = C00010 + C00042 + C00080	3.33333 millimolar / second	-25.613848806730857 kilojoule / mole	-25.64333176270863 kilojoule / mole	-42.75816929742966 kilojoule / mole	-79.44449827306246 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	3.33333 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353466058106633 kilojoule / mole	-8.353466058106633 kilojoule / mole	-8.958337144386126 kilojoule / mole	0.0
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	3.33333 millimolar / second	0.15463308194898673 kilojoule / mole	0.15463576556851316 kilojoule / mole	0.15463576556851316 kilojoule / mole	-0.8031138160283076 kilojoule / mole	0.0
ISOCIT-CLEAV-RXN	C00042 + C00048 = C00311	3.33333 millimolar / second	-9.51983219263957 kilojoule / mole	-9.521043274372902 kilojoule / mole	7.5937942603481305 kilojoule / mole	8.535143454640592 kilojoule / mole	0.0
ATP-CITRATE-PRO-S--LYASE-RXN	C00002 + C00010 + C00158 = C00008 + C00009 + C00024 + C00036	3.33333 millimolar / second	8.55195444534661 kilojoule / mole	8.558743304427399 kilojoule / mole	-8.556094230293635 kilojoule / mole	-10.982987575344229 kilojoule / mole	0.0
