reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	10.0 millimolar / second	-2.7445003681897973 kilojoule / mole	13.74658820896305 kilojoule / mole	13.74658820896305 kilojoule / mole	-19.099970249890266 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	6.66667 millimolar / second	19.81002119165261 kilojoule / mole	18.770541803490392 kilojoule / mole	18.770541803490392 kilojoule / mole	-7.811957064562944 kilojoule / mole	0.06203
RXN0-5224	C00001 + C00011 = C00080 + C00288	10.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.0389557187503895 kilojoule / mole	-5.0389557187503895 kilojoule / mole	-21.925286248078596 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	3.33333 millimolar / second	61.21694462493679 kilojoule / mole	53.02938000209881 kilojoule / mole	53.02938000209881 kilojoule / mole	-7.811957053312822 kilojoule / mole	0.17997
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	3.33333 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.4612493603215166 kilojoule / mole	-3.4612493603215166 kilojoule / mole	-7.8119570533160045 kilojoule / mole	0.17997
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	6.66667 millimolar / second	-63.201803634130385 kilojoule / mole	-53.43726961915937 kilojoule / mole	-70.5521071538804 kilojoule / mole	-43.72860733604246 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	C00005 + C00014 + C00036 + C00080 = C00001 + C00006 + C00049	6.66667 millimolar / second	-39.19559390302061 kilojoule / mole	-39.11979079071779 kilojoule / mole	-22.00495325599676 kilojoule / mole	-9.512305185235109 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	6.66667 millimolar / second	-3.5569274338457717 kilojoule / mole	-7.811957109567239 kilojoule / mole	-7.811957109567239 kilojoule / mole	-7.811957087659495 kilojoule / mole	0.0259
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	6.66667 millimolar / second	-22.520671894942552 kilojoule / mole	-27.364435054025552 kilojoule / mole	-27.364435054025552 kilojoule / mole	-7.811957053334943 kilojoule / mole	0.17997
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	3.33333 millimolar / second	16.1622318415602 kilojoule / mole	16.198354149524395 kilojoule / mole	-0.9164833851966387 kilojoule / mole	-7.811957064576507 kilojoule / mole	0.06203
RXN-14047	C00311 = C00158	3.33333 millimolar / second	-6.843282680861449 kilojoule / mole	-6.970559441720102 kilojoule / mole	-6.970559441720102 kilojoule / mole	-7.811957064622819 kilojoule / mole	0.06203
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	6.66667 millimolar / second	20.34505342193961 kilojoule / mole	20.345059028746903 kilojoule / mole	3.230221494025868 kilojoule / mole	-8.018544513076934 kilojoule / mole	0.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	6.66667 millimolar / second	22.274273316339418 kilojoule / mole	22.27423657394619 kilojoule / mole	22.27423657394619 kilojoule / mole	-8.022637787589087 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	3.33333 millimolar / second	-2.183111131228017 kilojoule / mole	-18.91055069988581 kilojoule / mole	-18.91055069988581 kilojoule / mole	-38.14406675847719 kilojoule / mole	0.0
RXN-8964	C00091 + C00149 = C00042 + C04348	3.33333 millimolar / second	-5.964746905089896 kilojoule / mole	-8.819770278996568 kilojoule / mole	-8.819770278996568 kilojoule / mole	-7.811957063769134 kilojoule / mole	0.06203
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	6.66667 millimolar / second	-8.353466868023588 kilojoule / mole	-10.809727780451952 kilojoule / mole	-10.809727780451952 kilojoule / mole	-7.811957064609951 kilojoule / mole	0.06203
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	6.66667 millimolar / second	0.15463308194898673 kilojoule / mole	-4.793961208163649 kilojoule / mole	-4.793961208163649 kilojoule / mole	-7.81195706462199 kilojoule / mole	0.06203
CITLY-RXN	C00158 = C00033 + C00036	3.33333 millimolar / second	3.801298359547289 kilojoule / mole	3.6731177591332087 kilojoule / mole	-13.441719775587824 kilojoule / mole	-8.998391313628693 kilojoule / mole	0.0
ISOCIT-CLEAV-RXN	C00042 + C00048 = C00311	3.33333 millimolar / second	-9.519832192639427 kilojoule / mole	-12.61901002296697 kilojoule / mole	4.495827511754063 kilojoule / mole	-7.811957064582346 kilojoule / mole	0.06203
RXN-8807	C00033 + C00091 = C00024 + C00042	3.33333 millimolar / second	6.5020060269730635 kilojoule / mole	5.389449099630351 kilojoule / mole	5.389449099630351 kilojoule / mole	-8.799508920916065 kilojoule / mole	0.0
