reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	ACRYLYL-COA + CARBON-DIOXIDE + NADPH = METHYL-MALONYL-COA + NADP	5.0 millimolar / second	-40.836293713945 kilojoule / mole	-29.524175081042436 kilojoule / mole	-12.409337546321403 kilojoule / mole	-17.620036529643137 kilojoule / mole	0.0
ACETYL-COA-CARBOXYLTRANSFER-RXN	ACETYL-COA + ATP + HCO3 = ADP + MALONYL-COA + PROTON + Pi	5.0 millimolar / second	-6.8194767126883065 kilojoule / mole	-4.948927537286875 kilojoule / mole	-4.948927537286875 kilojoule / mole	-35.69040891771625 kilojoule / mole	0.0
RXN-8974	MALONATE-S-ALD + NADPH + PROTON = 3-HYDROXY-PROPIONATE + NADP	5.0 millimolar / second	-23.328358352916297 kilojoule / mole	-23.26548317480924 kilojoule / mole	-23.26548317480924 kilojoule / mole	-21.63241155097569 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	CPD-208 = ACETYL-COA + GLYOX	5.0 millimolar / second	16.1622318415602 kilojoule / mole	16.1622318513167 kilojoule / mole	-0.9526056834043319 kilojoule / mole	-15.125386242573484 kilojoule / mole	0.19153
RXN-14047	THREO-DS-ISO-CITRATE = CIT	5.0 millimolar / second	-7.64512163077643 kilojoule / mole	-8.110701898506914 kilojoule / mole	-8.110701898506914 kilojoule / mole	-15.125386242407508 kilojoule / mole	0.2127
RXN-9086	3-HYDROXY-PROPIONATE + ATP + CO-A = 3-HYDROXY-PROPIONYL-COA + AMP + PPI	5.0 millimolar / second	1.9662286516720542 kilojoule / mole	2.85355652775444 kilojoule / mole	2.85355652775444 kilojoule / mole	-25.3594518060941 kilojoule / mole	0.0
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	NADH + OXALACETIC + PROTON = MAL + NAD	5.0 millimolar / second	-744.9846394418703 kilojoule / mole	-84.3016306210734 kilojoule / mole	-84.3016306210734 kilojoule / mole	-55.67727152160569 kilojoule / mole	0.0
RXN-8963	MALONYL-COA + NADPH + PROTON = CO-A + MALONATE-S-ALD + NADP	5.0 millimolar / second	9.907933190875156 kilojoule / mole	8.502799137602961 kilojoule / mole	-8.612038397118072 kilojoule / mole	-18.113232085816463 kilojoule / mole	0.0
RXN-8964	MAL + SUC-COA = CPD-208 + SUC	5.0 millimolar / second	-5.964746905090124 kilojoule / mole	-12.849973935193123 kilojoule / mole	-12.849973935193123 kilojoule / mole	-15.125386242188329 kilojoule / mole	0.19153
RXN-6383	3-HYDROXY-PROPIONYL-COA = ACRYLYL-COA + WATER	5.0 millimolar / second	-2.2979687186182645 kilojoule / mole	-2.585008908979746 kilojoule / mole	-2.585008908979746 kilojoule / mole	-17.180582124643724 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	METHYL-MALONYL-COA = SUC-COA	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-14.458741364929757 kilojoule / mole	-14.458741364929757 kilojoule / mole	-15.125386242248046 kilojoule / mole	0.19153
ISOCIT-CLEAV-RXN	GLYOX + SUC = THREO-DS-ISO-CITRATE	5.0 millimolar / second	-8.71799324272456 kilojoule / mole	-10.730179134330893 kilojoule / mole	6.384658400390141 kilojoule / mole	-15.12538624222202 kilojoule / mole	0.2127
ATP-CITRATE-PRO-S--LYASE-RXN	ATP + CIT + CO-A = ACETYL-COA + ADP + OXALACETIC + Pi	5.0 millimolar / second	723.9783827217921 kilojoule / mole	63.391910865060936 kilojoule / mole	46.27707333033993 kilojoule / mole	-15.254281743584784 kilojoule / mole	0.0
